,galaxy,v3k,mod0,dl_mpc,z,d_mpc
123,  PGC018813                  ,5565,34.36,74.47319739059888,1.8562841897777163e-05,74.47181498207152
124,  PGC018989                  ,4272,32.42,30.47894989627983,1.4249858146865056e-05,30.478515581756263
125,  ESO426-008                 ,7180,35.11,105.19618738232234,2.3949902035227316e-05,105.19366800427892
126,  ESO490-005                 ,7248,35.38,119.12420080273762,2.417672561996206e-05,119.1213208392482
127,  UGC03484                   ,7447,35.08,103.75284158180126,2.4840518169406382e-05,103.75026437147407
128,  UGC03498                   ,3907,33.36,46.98941086052151,1.3032349199391801e-05,46.98879848609118
129,  PGC019325                  ,5839,34.71,87.49837752274364,1.94768075186201e-05,87.49667336687796
130,  UGC03524                   ,4056,33.35,46.77351412871982,1.3529359701237048e-05,46.77288132158416
131,  UGC03575                   ,3901,33.88,59.70352865838378,1.3012335353679911e-05,59.702751786156
132,  UGC03605                   ,8117,35.77,142.56075936021878,2.7075397607234003e-05,142.5568995754811
133,  UGC03627                   ,6352,34.37,74.81695005111538,2.1187991326986617e-05,74.81536486381353
134,  UGC03637                   ,3713,32.68,34.35579478998743,1.2385234854707385e-05,34.35536929067024
135,  ESO491-020                 ,3057,33.45,48.97788193684466,1.0197054390207508e-05,48.9773825118113
136,  UGC03731                   ,5041,34.15,67.60829753919819,1.6814966038938844e-05,67.60716072708658
137,  UGC03717                   ,4197,33.61,52.72298614228222,1.3999685075466441e-05,52.72224804741308
138,  UGC03770                   ,6534,34.94,97.2747223776964,2.1795077980247253e-05,97.27260231374365
139,  UGC03777                   ,3356,32.83,36.812897364253125,1.1194411034849982e-05,36.8124852701618
140,  UGC03783                   ,6338,35.1,104.71285480508985,2.1141292353658876e-05,104.71064108681409
141,  PGC020830                  ,5285,34.78,90.36494737223023,1.7628862431222335e-05,90.36335436908725
142,  ESO163-014                 ,3020,32.9,38.018939632056124,1.0073635674984191e-05,38.018556646967575
143,  UGC03979                   ,4108,34.04,64.26877173170195,1.3702813030740087e-05,64.26789108080659
144,  PGC021697                  ,5253,34.58,82.41381150130013,1.7522121920758926e-05,82.4123674617497
145,  ESO560-012                 ,3538,33.29,45.498806015004796,1.1801497688110619e-05,45.49826906728758
146,  ESO560-013                 ,3472,33.56,51.522864458175725,1.158134538527984e-05,51.52226776099775
147,  IC2207                     ,4970,34.45,77.62471166286927,1.6578135531348158e-05,77.62342481121236
148,  UGC04113                   ,5454,34.96,98.17479430199843,1.8192585752107213e-05,98.17300828112674
149,  ESO561-003                 ,3761,33.14,42.461956394631294,1.2545345620402499e-05,42.461423701395425
150,  UGC04195                   ,4942,34.18,68.5488226452662,1.6484737584692674e-05,68.54769265454075
151,  PGC022976                  ,9623,35.63,133.6595516546446,3.209887288091817e-05,133.65526147139673
152,  PGC023420                  ,4374,33.74,55.975760149511046,1.459009352396717e-05,55.97494346985082
153,  PGC023574                  ,4995,33.92,60.81350012787188,1.6661526555147695e-05,60.81248689900654
154,  PGC023709                  ,5521,34.93,96.82778562612486,1.8416073695889975e-05,96.82600247132768
155,  PGC023757                  ,6691,34.46,77.98301105232593,2.2318773609708352e-05,77.98127060600149
156,  ESO431-013                 ,3098,32.9,38.018939632056124,1.033381566923875e-05,38.01854675540194
157,  ESO562-018                 ,5011,34.83,92.4698173938221,1.67148968103794e-05,92.46827179620078
158,  ESO431-016                 ,3070,32.5,31.622776601683793,1.0240417722583268e-05,31.622452774557964
159,  PGC024189                  ,6192,34.44,77.26805850957021,2.0654288774669574e-05,77.26646262573854
160,  ESO432-002                 ,3124,32.76,35.64511334262439,1.042054233399027e-05,35.64474190508239
161,  UGC04625                   ,8763,35.64,134.27649611378644,2.9230221662214066e-05,134.27257129676428
162,  ESO563-026                 ,3701,33.02,40.17908108489409,1.2345207163283608e-05,40.178585071937846
163,  UGC04655                   ,6500,34.87,94.18895965228398,2.1681666187879883e-05,94.18691752297897
164,  PGC024988                  ,9550,35.77,142.56075936021878,3.185537109142352e-05,142.5562181789873
165,  IC0522                     ,5193,34.18,68.5488226452662,1.7321983463640036e-05,68.54763526426169
166,  NGC2722                    ,3070,32.66,34.04081897010002,1.0240417722583268e-05,34.040470381463834
167,  ESO564-012                 ,3857,34.53,80.53784411990677,1.2865567151792725e-05,80.53680796819566
168,  PGC025563                  ,4077,34.18,68.5488226452662,1.3599408161228658e-05,68.5478904345256
169,  NGC2772                    ,3732,34.43,76.91304402866098,1.2448612032795035e-05,76.91208657993451
170,  ESO314-005                 ,5087,34.12,66.68067692136218,1.6968405522729994e-05,66.67954547579447
171,  PGC025794                  ,5176,34.47,78.3429642766212,1.726527756745635e-05,78.34161168695034
172,  ESO564-032                 ,3076,32.73,35.15604405282976,1.0260431568295157e-05,35.15568334034661
173,  ESO126-003                 ,3122,33.53,50.8159442560561,1.0413871052086307e-05,50.81541507087609
174,  ESO564-033                 ,5486,34.82,92.04495717531721,1.8299326262570622e-05,92.04327284543714
175,  PGC026411                  ,3763,34.01,63.38697112569263,1.2552016902306462e-05,63.386175501346365
176,  PGC027054                  ,4696,34.1,66.06934480075964,1.566416991050522e-05,66.06830989552773
177,  NGC2930                    ,7670,35.13,106.16955571987242,2.558436610169826e-05,106.16683950858257
178,  ESO373-019                 ,3116,32.86,37.32501577957206,1.0393857206374417e-05,37.32462783272008
179,  PGC027810                  ,3045,33.52,50.58246620031147,1.015702669878373e-05,50.58195243807008
180,  UGC05218                   ,3432,33.55,51.28613839913638,1.1447919747200578e-05,51.285551286261054
181,  NGC2990                    ,3413,33.17,43.0526610491711,1.1384542569112929e-05,43.05217091989857
182,  PGC028308                  ,3044,33.17,43.0526610491711,1.0153691057831748e-05,43.052223910190165
183,  NGC3038                    ,3101,32.97,39.26449353995993,1.0343822592094695e-05,39.264087399205636
184,  UGC05378                   ,4506,33.76,56.49369748123022,1.5030398129628732e-05,56.49284837122772
185,  PGC029306                  ,7543,34.47,78.3429642766212,2.516073970079661e-05,78.34099315928442
186,  NGC3124                    ,3908,32.86,37.32501577957206,1.3035684840343781e-05,37.32452922877223
187,  IC2560                     ,3244,32.41,30.338911841942657,1.0820819248228052e-05,30.338583553613777
188,  ESO213-011                 ,3013,31.4,19.054607179632445,1.0050286188320321e-05,19.054415677301737
189,  ESO436-014                 ,4222,33.29,45.498806015004796,1.408307609926598e-05,45.49816526088105
190,  NGC3241                    ,3344,33.02,40.17908108489409,1.1154383343426205e-05,40.178632917020316
191,  ESO317-023                 ,3061,33.07,41.114972110452214,1.0210396954015435e-05,41.1145523145525
192,  ESO568-012                 ,6048,34.51,79.79946872679753,2.0173956477584237e-05,79.79785888826531
193,  PGC030719                  ,10022,35.85,147.9108388168207,3.34297936207588e-05,147.90589435329716
194,  NGC3257                    ,3524,32.66,34.04081897010002,1.1754798714782879e-05,34.04041883182848
195,  NGC3256B                   ,3001,32.57,32.6587832172336,1.0010258496896544e-05,32.658456297643944
196,  IC2588                     ,3853,33.46,49.20395356814511,1.2852224587984798e-05,49.20332119601063
197,  IC2589                     ,4014,32.06,25.822601906346012,1.3389262781253824e-05,25.82225616537261
198,  ESO436-038                 ,3094,34.14,67.29766562843183,1.0320473105430825e-05,67.2969710918516
199,  IC2596                     ,3527,29.44,7.726805850957021,1.1764805637638823e-05,7.726714947657444
200,  ESO436-040                 ,4764,33.23,44.25883723626255,1.5890993495239963e-05,44.25813393054415
201,  NGC3285B                   ,3298,33.08,41.3047501990161,1.1000943859635055e-05,41.3042958127767
202,  NGC3366                    ,3180,33.11,41.879356511791826,1.0607338227301235e-05,41.87891228800459
203,  ESO501-022                 ,3242,33.75,56.23413251903491,1.081414796632409e-05,56.233524401381366
204,  ESO437-012                 ,3901,33.02,40.17908108489409,1.3012335353679911e-05,40.17855826801988
205,  ESO501-041                 ,3896,33.89,59.97910762555101,1.2995657148920004e-05,59.97832816776178
206,  ESO501-037                 ,4018,33.02,40.17908108489409,1.3402605345061749e-05,40.17854258774444
